FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.11040,POINT (358063.80722267786 6305932.862122102),4125,4125,T-17-136-PO-75,PC288,LAS CONDES,AVENIDA LAS CONDES,V.ALEGRE,SAN DAMIAN,Avenida Las Condes esq. / San Damian,358063.8072,6305932.8621,,,,141,105,12,405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I,T-17-136-PO-75|PC288|405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I
paradas_frecuentes.11041,POINT (358491.76073719165 6306192.876937227),4129,4129,T-15-136-OP-5,PC292,VITACURA,AVENIDA LAS CONDES,SAN FRANCISCO DE ASIS,SAN DAMIµN,Mayflower > Dunalastair,358491.7607,6306192.8769,,,,114,118.33,13,405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R;C21NI,T-15-136-OP-5|PC292|405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R;C21NI
paradas_frecuentes.11042,POINT (358516.3272752594 6306173.716341566),4126,4126,T-17-136-PO-80,PC289,LAS CONDES,AVENIDA LAS CONDES,FRAY JORGE,NUEVA LAS CONDES,Mayflower > Dunalastair,358516.3273,6306173.7163,,,,141,105,13,405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I;C21NR,T-17-136-PO-80|PC289|405I;406I;409I;411I;426I;430I;502I;406cI;C01I;C01cI;C05R;C16I;C21NR
paradas_frecuentes.11043,POINT (358671.392160441 6306298.531023412),4128,4128,T-15-136-OP-3,PC291,VITACURA,AVENIDA LAS CONDES,SAN FRANCISCO DE ASIS,SAN DAMIµN,Parada 4 / Cantagallo,358671.43,6306298.48,,,,114,118.33,13,405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R;C21NI,T-15-136-OP-3|PC291|405R;406R;409R;411R;426R;430R;502R;406cR;C01R;C01cR;C05I;C16R;C21NI
paradas_frecuentes.11044,POINT (358799.7191601794 6306342.768438262),4326,4326,L-17-35-5-PO,PC351,LAS CONDES,AVENIDA LAS CONDES,FRAY JORGE,SAN FRANCISCO DE ASÖS,Avenida Las Condes esq. / Sn. Francisco de As¡s,358799.6792,6306342.7589,,,,59,44.67,6,411I;502I;C01I;C01cI;C05R;C21NR,L-17-35-5-PO|PC351|411I;502I;C01I;C01cI;C05R;C21NR
paradas_frecuentes.11045,POINT (358827.3128114266 6306288.272249777),4127,4127,T-17-145-PO-5,PC290,LAS CONDES,NUEVA LAS CONDES,LAS CONDES,SAN FRANCISCO DE ASÖS,Nueva Las Condes esq. / Sn. Francisco de As¡s,358827.3128,6306288.2723,,,,100,82.67,9,405I;405R;406I;406R;409I;426I;430I;406cI;406cR,T-17-145-PO-5|PC290|405I;405R;406I;406R;409I;426I;430I;406cI;406cR
paradas_frecuentes.11046,POINT (358873.7006177732 6306278.633943096),7062,7062,L-17-31-5-SN,PC844,LAS CONDES,SAN FRANCISCO DE ASÖS,CAMINO FRANCISCO DE ASIS,NUEVA LAS CONDES,San F. de As¡s esq. / Nueva Las Condes,358873.7006,6306278.6339,,,,20,20,2,C09R;C16I,L-17-31-5-SN|PC844|C09R;C16I
paradas_frecuentes.11047,POINT (358713.4902335622 6306525.614825672),4343,4343,T-16-326-NS-10,PC1060,LO BARNECHEA,CAMINO DE ASÖS,RAéL LABB,MONS. ESCRIVµ DE BALAGUER,Camino de Asis esq. / Escriv  de Balaguer,358713.4983,6306525.6042,,,,25,25.67,3,411R;426R;430R,T-16-326-NS-10|PC1060|411R;426R;430R
paradas_frecuentes.11048,POINT (358746.2571633594 6306505.6859850045),4287,4287,T-16-326-SN-5,PC423,LO BARNECHEA,CAMINO DE ASÖS,AVENIDA  LAS CONDES,MONS. ESCRIVµ DE BALAGUER,Camino de Asis esq. / Escriv  de Balaguer,358746.2572,6306505.686,,,,72.5,58.33,9,409I;426I;430I;C08R;C09R;C12R;C13I;C16I;C19R,T-16-326-SN-5|PC423|409I;426I;430I;C08R;C09R;C12R;C13I;C16I;C19R
paradas_frecuentes.11049,POINT (358603.48978265445 6306825.895631081),4342,4342,T-16-138-OP-5,PC1087,LO BARNECHEA,RAéL LABB,EL RADAL,CAMINO TURÖSTICO,Ra£l Labb esq. / Camino Tur¡stico,358603.5027,6306825.8573,,,,25,25.67,3,411R;426R;430R,T-16-138-OP-5|PC1087|411R;426R;430R
