FID,the_geom,ID,ID1,COD_TS,SIMT,COMUNA,EJE,DESDE_CRUC,HACIA_CRUC,NOMBRE_PAR,X,Y,N_ET,N_ZP,ZP_HORARIO,FREPMA,FREPTA,NSERVICIOS,SERVICIOS,MULTIPLE_F
paradas_frecuentes.782,POINT (349067.55992060655 6278687.312763756),3165,3165,T-23-205-NS-115,PG184,LA PINTANA,AVENIDA SANTA ROSA,LOS PALTOS,LOS MANZANOS,Avenida Santa Rosa esq. / Los Manzanos,349067.5599,6278687.3128,,,,24.5,39,4,230I;207cI;F03I;F18R,T-23-205-NS-115|PG184|230I;207cI;F03I;F18R
paradas_frecuentes.783,POINT (349624.6694415024 6277356.750215003),9115,9115,L-34-4-15-PO,PF741,PUENTE ALTO,AGUAS ABAJO,FLOR DE QUILLON,MARÖA ROSA,Aguas Abajo esq. / Mar¡a Rosa,349624.6694,6277356.7502,,,,6,14,1,F18R,L-34-4-15-PO|PF741|F18R
paradas_frecuentes.784,POINT (349654.63725775667 6277374.522873746),9093,9093,L-34-4-20-OP,PF711,PUENTE ALTO,AGUAS ABAJO,RAIZ DE SUENO,MARÖA ROSA,Aguas Abajo esq. / Mar¡a Rosa,349654.64153,6277374.55868,,,,14,6,1,F18I,L-34-4-20-OP|PF711|F18I
paradas_frecuentes.785,POINT (349552.3675868042 6277796.174636729),8971,8971,L-34-27-5-PO,PF601,PUENTE ALTO,SAN PEDRO,QUITALMAHUE,PUQUELDàN,San Pedro esq. / Puqueld¢n,349552.3676,6277796.1746,,,,16,21,2,F13R;F13cR,L-34-27-5-PO|PF601|F13R;F13cR
paradas_frecuentes.786,POINT (349573.32601621316 6277808.7040476985),8955,8955,L-34-27-10-OP,PF584,PUENTE ALTO,SAN PEDRO,ICUVAL,PUQUELDàN,San Pedro esq. / Puqueld¢n,349573.326,6277808.704,,,,23.5,13.67,2,F13I;F13cI,L-34-27-10-OP|PF584|F13I;F13cI
paradas_frecuentes.787,POINT (349798.24985378736 6277831.527649138),9178,9178,L-34-36-15-SN,PF848,PUENTE ALTO,EL SAUCE,BELN,SAN PEDRO,El Sauce esq. / San Pedro,349798.285,6277831.5,,,,14,13,2,F25I;F25eI,L-34-36-15-SN|PF848|F25I;F25eI
paradas_frecuentes.788,POINT (349774.40798762755 6277843.13323633),8972,8972,L-34-27-15-PO,PF602,PUENTE ALTO,SAN PEDRO,QUEILEN,EL SAUCE,San Pedro esq. / El Sauce,349774.408,6277843.1332,,,,16,21,2,F13R;F13cR,L-34-27-15-PO|PF602|F13R;F13cR
paradas_frecuentes.789,POINT (349788.23425245925 6277866.752964089),9200,9200,L-34-36-20-NS,PF849,PUENTE ALTO,EL SAUCE,CURACO DE VLEZ,SAN PEDRO,El Sauce esq. / San Pedro,349788.229,6277866.72,,,,13.5,14,2,F25R;F25eR,L-34-36-20-NS|PF849|F25R;F25eR
paradas_frecuentes.790,POINT (349811.8187018996 6277853.812321787),8954,8954,L-34-39-5-OP,PF583,PUENTE ALTO,SAN PEDRO,ESTACION QUILACOYA,EL SAUCE,San Pedro esq. / El Sauce,349811.8187,6277853.8123,,,,23.5,13.67,2,F13I;F13cI,L-34-39-5-OP|PF583|F13I;F13cI
paradas_frecuentes.791,POINT (349841.77316887915 6277499.128910455),9092,9092,L-34-36-10-NS,PF710,PUENTE ALTO,EL SAUCE,EL ESTUCADOR,EL PINTOR,El Sauce esq. / El Pintor,349841.7749,6277499.1802,,,,14,6,1,F18I,L-34-36-10-NS|PF710|F18I
paradas_frecuentes.792,POINT (349849.414873059 6277502.9087526165),9116,9116,L-34-36-5-SN,PF742,PUENTE ALTO,EL SAUCE,EL PINTOR,EL ESTUCADOR,El Sauce esq. / El Estucador,349849.4384,6277502.9029,,,,6,14,1,F18R,L-34-36-5-SN|PF742|F18R
paradas_frecuentes.793,POINT (349949.85748619924 6277718.991487319),9117,9117,L-34-11-5-PO,PF672,PUENTE ALTO,BELN,EL CAPATAZ,PASAJE EL SOLDADOR,Beln esq. / El Soldador,349949.8575,6277718.9915,,,,19.5,28,3,F18R;F25R;F25eR,L-34-11-5-PO|PF672|F18R;F25R;F25eR
paradas_frecuentes.794,POINT (349963.6311474187 6277728.191091332),9091,9091,L-34-11-10-OP,PF621,PUENTE ALTO,BELN,EL ALBANIL,PASAJE EL SOLDADOR,Beln esq. / El Soldador,349963.6311,6277728.1911,,,,28,19,3,F18I;F25I;F25eI,L-34-11-10-OP|PF621|F18I;F25I;F25eI
paradas_frecuentes.795,POINT (350189.5558515631 6277758.119829671),9118,9118,L-34-11-15-PO,PF673,PUENTE ALTO,BELN,RIO NONTUE,RÖO MAIHUE,Beln esq. / R¡o Maihue,350189.5559,6277758.1198,,,,19.5,28,3,F18R;F25R;F25eR,L-34-11-15-PO|PF673|F18R;F25R;F25eR
paradas_frecuentes.796,POINT (350114.57517540304 6277889.492733447),8973,8973,L-34-39-10-PO,PF603,PUENTE ALTO,SAN PEDRO,ESTACION EL MELOCOTON,ESTACIàN LAS VERTIENTES,Centro de Salud @ Card. Ra£l Silva H.,350114.5752,6277889.4927,,,,16,21,2,F13R;F13cR,L-34-39-10-PO|PF603|F13R;F13cR
paradas_frecuentes.797,POINT (349473.75399288157 6278087.537712325),8966,8966,L-34-26-15-OP,PF598,PUENTE ALTO,CURACO DE VLEZ,LINAO,CASTRO,Curaco de Vlez esq. / Castro,349473.754,6278087.5377,,,,16,21,2,F13R;F13cR,L-34-26-15-OP|PF598|F13R;F13cR
paradas_frecuentes.798,POINT (349719.2252614383 6278108.134119766),8960,8960,L-34-26-20-PO,PF589,PUENTE ALTO,CURACO DE VLEZ,ICUVAL,QUEILN,Curaco de Vlez esq. / Queiln,349719.2253,6278108.1341,,,,23.5,13.67,2,F13I;F13cI,L-34-26-20-PO|PF589|F13I;F13cI
paradas_frecuentes.799,POINT (349801.2057777315 6278116.849232271),8965,8965,L-34-47-5-OP,PF597,PUENTE ALTO,LA LECHERÖA,ESTACION CARAMPANGUE,EL SAUCE,La Lecher¡a esq. / El Sauce,349801.2025,6278116.8463,,,,29.5,35,4,F13R;F13cR;F25R;F25eR,L-34-47-5-OP|PF597|F13R;F13cR;F25R;F25eR
paradas_frecuentes.800,POINT (349851.68373045593 6278116.7520064525),8961,8961,L-34-47-5-PO,PF864,PUENTE ALTO,LA LECHERÖA,EL SAUCE,ESTACIàN CARAMPANGUE,La Lecher¡a esq. / Est. Carampangue,349851.6837,6278116.752,,,,37.5,26.67,4,F13I;F13cI;F25I;F25eI,L-34-47-5-PO|PF864|F13I;F13cI;F25I;F25eI
paradas_frecuentes.801,POINT (350133.53970120696 6277904.98444064),8953,8953,L-34-39-15-OP,PF582,PUENTE ALTO,SAN PEDRO,ESTACION SAN GABRIEL,ESTACIàN LAS VERTIENTES,Centro de Salud @ Card. Ra£l Silva H.,350133.5536,6277904.9733,,,,23.5,13.67,2,F13I;F13cI,L-34-39-15-OP|PF582|F13I;F13cI
paradas_frecuentes.802,POINT (350075.4120003565 6278157.185568167),8962,8962,L-34-47-10-PO,PF590,PUENTE ALTO,LA LECHERÖA,ESTACION CHIGUAYANTE,ESTACION LAS VERTIENTES,La Lecher¡a esq. / Est. Las Vertientes,350075.4094,6278157.1798,,,,37.5,26.67,4,F13I;F13cI;F25I;F25eI,L-34-47-10-PO|PF590|F13I;F13cI;F25I;F25eI
paradas_frecuentes.803,POINT (350103.24516391923 6278169.266586358),8964,8964,L-34-47-15-OP,PF596,PUENTE ALTO,LA LECHERÖA,ESTACIàN INGENIO,ESTACION LAS VERTIENTES,La Lecher¡a esq. / Est. Las Vertientes,350103.2452,6278169.2666,,,,29.5,35,4,F13R;F13cR;F25R;F25eR,L-34-47-15-OP|PF596|F13R;F13cR;F25R;F25eR
paradas_frecuentes.804,POINT (349926.1675355667 6278764.99894622),9040,9040,L-34-109-20-NS,PF1014,PUENTE ALTO,9 DE AGOSTO,PASAJE 4,ESTACIàN LOS µLAMOS,9 de Agosto esq. / Est. Los µlamos,349926.21,6278765,,,,5,8,1,F15R,L-34-109-20-NS|PF1014|F15R
paradas_frecuentes.805,POINT (350012.97381141095 6278578.1324663125),9041,9041,L-34-74-85-PO,PF888,PUENTE ALTO,SARGENTO MENADIER,9 DE AGOSTO,ESTACIàN CHERQUENCO,Sargento Menadier esq. / Est. Cherquenco,350012.987,6278578.14,,,,5,8,1,F15R,L-34-74-85-PO|PF888|F15R
paradas_frecuentes.806,POINT (349999.51283859136 6278596.334032698),9007,9007,L-34-74-120-OP,PF891,PUENTE ALTO,SARGENTO MENADIER,EST. CHERQUENCO,ESTACIàN 3 PINOS,Sargento Menadier esq. / Estaci¢n 3 Pinos,349999.5128,6278596.334,,,,9,5,1,F15I,L-34-74-120-OP|PF891|F15I
paradas_frecuentes.807,POINT (350173.7748656455 6278614.251889294),9042,9042,L-34-74-90-PO,PF889,PUENTE ALTO,SARGENTO MENADIER,9 DE AGOSTO,ESTACIàN SIERRA NEVADA,Sargento Menadier esq. / Est. Sierra Nevada,350173.731,6278614.243,,,,5,8,1,F15R,L-34-74-90-PO|PF889|F15R
paradas_frecuentes.808,POINT (350218.30517683516 6277770.880373754),9090,9090,L-34-11-20-OP,PF620,PUENTE ALTO,BELN,RIO QUILLEN,RÖO MAIHUE,Beln esq. / R¡o Maihue,350218.26553,6277770.84168,,,,28,19,3,F18I;F25I;F25eI,L-34-11-20-OP|PF620|F18I;F25I;F25eI
paradas_frecuentes.809,POINT (350504.48261773225 6277643.798662495),8835,8835,L-34-46-20-SN,PF466,PUENTE ALTO,AVENIDA JUANITA,ACCESO SUR,DONIZETTI,Avenida Juanita esq. / Donizetti,350504.4826,6277643.7987,,,,87,52.67,8,F10I;F12I;F13I;F13cI;F15I;F18I;F25I;F25eI,L-34-46-20-SN|PF466|F10I;F12I;F13I;F13cI;F15I;F18I;F25I;F25eI
paradas_frecuentes.810,POINT (350479.9312313685 6277724.827918717),8866,8866,L-34-46-25-NS,PF494,PUENTE ALTO,AVENIDA JUANITA,RÖO LOS CIERVOS,RÖO COCHIGUAS,Avenida Juanita esq. / R¡o Cochiguas,350479.9638,6277724.8149,,,,56.5,81,8,F10R;F12R;F13R;F13cR;F15R;F18R;F25R;F25eR,L-34-46-25-NS|PF494|F10R;F12R;F13R;F13cR;F15R;F18R;F25R;F25eR
paradas_frecuentes.811,POINT (350460.6703416947 6277805.717761749),9119,9119,L-34-11-25-PO,PF674,PUENTE ALTO,BELN,RIO QUENCO,AVENIDA JUANITA,Beln esq. / Avenida Juanita,350460.6703,6277805.7178,,,,19.5,28,3,F18R;F25R;F25eR,L-34-11-25-PO|PF674|F18R;F25R;F25eR
paradas_frecuentes.812,POINT (350466.00673279935 6277832.420635676),2378,2378,L-34-46-20-NS,PF920,PUENTE ALTO,AVENIDA JUANITA,RÖO TURBIO,BELN,Avenida Juanita esq. / Beln,350466.007,6277832.466,,,,13.5,13,2,209R;209eR,L-34-46-20-NS|PF920|209R;209eR
paradas_frecuentes.813,POINT (350490.19501396525 6277798.524784661),8836,8836,L-34-46-16-SN,PF467,PUENTE ALTO,AVENIDA JUANITA,ARIO CATIAO,WEBER,Avenida Juanita esq. / Weber,350490.195,6277798.5248,,,,50,30,4,F10I;F12I;F13I;F15I,L-34-46-16-SN|PF467|F10I;F12I;F13I;F15I
paradas_frecuentes.814,POINT (350496.5990749075 6277816.260132662),8837,8837,L-34-84-5-OP,PF468,PUENTE ALTO,WEBER,SAN GUILLERMO,AVENIDA JUANITA -ORIENTE,Weber esq. / Av. Juanita -Oriente,350496.5991,6277816.2601,,,,26.5,23,2,F10I;F10R,L-34-84-5-OP|PF468|F10I;F10R
paradas_frecuentes.815,POINT (350675.42376330425 6277808.3974304795),2379,2379,L-34-84-10-PO,PF940,PUENTE ALTO,WEBER,TOSCANINI,BARTOK,Weber esq. / Bartok,350675.43,6277808.4,,,,29,22,3,209R;209eR;F10I,L-34-84-10-PO|PF940|209R;209eR;F10I
paradas_frecuentes.816,POINT (350906.93258801114 6277879.212762428),8865,8865,L-34-72-50-NS,PF493,PUENTE ALTO,SAN GUILLERMO,EL SILO,WEBER,San Guillermo esq. / Weber,350906.9773,6277879.1998,,,,11,14,1,F10R,L-34-72-50-NS|PF493|F10R
paradas_frecuentes.817,POINT (350913.6542517616 6277882.53376004),2380,2380,L-34-72-55-SN,PF469,PUENTE ALTO,SAN GUILLERMO,WEBER,EL SILO,San Guillermo esq. / El Silo,350913.6543,6277882.5338,,,,24,17,2,209R;F10I,L-34-72-55-SN|PF469|209R;F10I
paradas_frecuentes.818,POINT (350441.75478804007 6277935.859385729),8974,8974,L-34-39-20-PO,PF604,PUENTE ALTO,SAN PEDRO,ESTACION EL ROMERAL,AVENIDA JUANITA -ORIENTE,San Pedro esq. / Av. Juanita -Oriente,350441.7669,6277935.8317,,,,16,21,2,F13R;F13cR,L-34-39-20-PO|PF604|F13R;F13cR
paradas_frecuentes.819,POINT (350451.7985212179 6277958.199028482),2377,2377,L-34-46-15-NS,PF581,PUENTE ALTO,AVENIDA JUANITA,EL SILO,ESTACIàN EL CANELO,Avenida Juanita esq. / Estaci¢n El Canelo,350451.7985,6277958.199,,,,16,26,3,209I;F12R;F15R,L-34-46-15-NS|PF581|209I;F12R;F15R
paradas_frecuentes.820,POINT (350468.64802469785 6277984.415858045),8886,8886,L-34-46-10-SN,PF863,PUENTE ALTO,AVENIDA JUANITA,ESTACION EL CANELO,TUCAPEL,Avenida Juanita esq. / Tucapel,350468.648,6277984.4159,,,,20,11,2,F12I;F15I,L-34-46-10-SN|PF863|F12I;F15I
paradas_frecuentes.821,POINT (350392.90407262923 6278212.497088696),8963,8963,L-34-47-35-PO,PF591,PUENTE ALTO,LA LECHERÖA,ESTACION SN ALFONSO,AVENIDA JUANITA,La Lecher¡a esq. / Avenida Juanita,350392.911,6278212.5353,,,,37.5,26.67,4,F13I;F13cI;F25I;F25eI,L-34-47-35-PO|PF591|F13I;F13cI;F25I;F25eI
paradas_frecuentes.822,POINT (350441.15886678617 6278200.272303099),8887,8887,L-34-46-5-SN,PF532,PUENTE ALTO,AVENIDA JUANITA,EL SILO,LA LECHERÖA,Avenida Juanita esq. / La Lecher¡a,350441.1589,6278200.2723,,,,20,11,2,F12I;F15I,L-34-46-5-SN|PF532|F12I;F15I
paradas_frecuentes.823,POINT (350415.5716387352 6278246.457862658),2376,2376,L-34-45-40-NS,PF580,PUENTE ALTO,AVENIDA JUANITA,ESTACION YUMBEL,LA LECHERÖA,Avenida Juanita esq. / La Lecher¡a,350415.5716,6278246.4579,,,,50.5,66.33,8,209I;209eI;F12R;F13R;F13cR;F15R;F25R;F25eR,L-34-45-40-NS|PF580|209I;209eI;F12R;F13R;F13cR;F15R;F25R;F25eR
paradas_frecuentes.824,POINT (350457.49498975056 6278283.269760594),2384,2384,T-34-488-OP-5,PF946,PUENTE ALTO,DEL EMPRESARIO,DEL ARQUITECTO,AVENIDA JUANITA,Del Empresario esq. / Avenida Juanita,350457.522,6278283.299,,,,13.5,13,2,209R;209eR,T-34-488-OP-5|PF946|209R;209eR
paradas_frecuentes.825,POINT (350198.1357949713 6278640.808253632),9006,9006,L-34-74-115-OP,PF892,PUENTE ALTO,SARGENTO MENADIER,EST. IGNAO,ESTACIàN SIERRA NEVADA,Sargento Menadier esq. / Est. Sierra Nevada,350198.115,6278640.832,,,,9,5,1,F15I,L-34-74-115-OP|PF892|F15I
paradas_frecuentes.826,POINT (350409.32941464795 6278450.444742554),2375,2375,L-34-45-30-NS,PF579,PUENTE ALTO,AVENIDA JUANITA,ESTACION YUMBEL,LA LECHERÖA,Avenida Juanita esq. / La Lecher¡a,350409.3294,6278450.4447,,,,45.5,61,7,209I;F12R;F13R;F13cR;F15R;F25R;F25eR,L-34-45-30-NS|PF579|209I;F12R;F13R;F13cR;F15R;F25R;F25eR
paradas_frecuentes.827,POINT (350429.36899968993 6278450.646220867),2385,2385,L-34-45-25-SN,PF533,PUENTE ALTO,AVENIDA JUANITA,DEL INGENIERO,ESTACIàN TEMUCO,Avenida Juanita esq. / Estaci¢n Temuco,350429.369,6278450.6462,,,,66,45.67,7,209R;F12I;F13I;F13cI;F15I;F25I;F25eI,L-34-45-25-SN|PF533|209R;F12I;F13I;F13cI;F15I;F25I;F25eI
paradas_frecuentes.828,POINT (350386.63524531736 6278662.16097763),9043,9043,L-34-74-95-PO,PF893,PUENTE ALTO,SARGENTO MENADIER,EST. MAFIL,AVENIDA JUANITA,Sargento Menadier esq. / Avenida Juanita,350386.662,6278662.141,,,,5,8,1,F15R,L-34-74-95-PO|PF893|F15R
paradas_frecuentes.829,POINT (350393.3422912017 6278696.205620925),2374,2374,L-34-45-15-NS,PF578,PUENTE ALTO,AVENIDA JUANITA,ESTACION VIVANCO,SARGENTO MENADIER,Avenida Juanita esq. / Sargento Menadier,350393.3423,6278696.2056,,,,43.5,51.33,6,209I;209eI;F12R;F13R;F25R;F25eR,L-34-45-15-NS|PF578|209I;209eI;F12R;F13R;F25R;F25eR
paradas_frecuentes.830,POINT (350419.47520214587 6278650.804999173),2386,2386,L-34-45-20-SN,PF534,PUENTE ALTO,AVENIDA JUANITA,ESTACION LONQUIMAY,SARGENTO MENADIER,Avenida Juanita esq. / Sargento Menadier,350419.4752,6278650.805,,,,71,50.67,8,209R;209eR;F12I;F13I;F13cI;F15I;F25I;F25eI,L-34-45-20-SN|PF534|209R;209eR;F12I;F13I;F13cI;F15I;F25I;F25eI
paradas_frecuentes.831,POINT (350430.6122890687 6278692.349986194),8985,8985,L-34-74-110-OP,PF671,PUENTE ALTO,SARGENTO MENADIER,EST. PALLACA,AVENIDA JUANITA,Sargento Menadier esq. / Avenida Juanita,350430.6123,6278692.35,,,,2,7,1,F13cR,L-34-74-110-OP|PF671|F13cR
paradas_frecuentes.832,POINT (350749.46508302784 6278279.60816648),2383,2383,L-34-47-25-OP,PF921,PUENTE ALTO,LA LECHERÖA,LA CAPILLA,EL TRANQUE,La Lecher¡a esq. / El Tranque,350749.47593,6278279.56668,,,,8.5,8,1,209R,L-34-47-25-OP|PF921|209R
paradas_frecuentes.833,POINT (350909.6222642998 6278064.371860169),8864,8864,L-34-72-45-NS,PF883,PUENTE ALTO,SAN GUILLERMO,EL CORRALERO,EL TAMBILLO,San Guillermo esq. / El Tambillo,350909.59,6278064.426,,,,11,14,1,F10R,L-34-72-45-NS|PF883|F10R
paradas_frecuentes.834,POINT (350912.61656924675 6278098.580234298),2381,2381,L-34-72-40-SN,PF885,PUENTE ALTO,SAN GUILLERMO,LA TRANQUERA,LA MELGA,San Guillermo esq. / La Melga,350912.6166,6278098.5802,,,,29,22,3,209R;209eR;F10I,L-34-72-40-SN|PF885|209R;209eR;F10I
paradas_frecuentes.835,POINT (350895.5854353932 6278280.992684952),2382,2382,L-34-72-45-SN,PF470,PUENTE ALTO,SAN GUILLERMO,EL SILO,LA LECHERÖA,San Guillermo esq. / La Lecher¡a,350895.5854,6278280.9927,,,,24,17,2,209R;F10I,L-34-72-45-SN|PF470|209R;F10I
paradas_frecuentes.836,POINT (350881.52054568514 6278326.249278144),8863,8863,L-34-72-40-NS,PF492,PUENTE ALTO,SAN GUILLERMO,SAMO ALTO,LA LECHERÖA,San Guillermo esq. / La Lecher¡a,350881.524,6278326.275,,,,11,14,1,F10R,L-34-72-40-NS|PF492|F10R
paradas_frecuentes.837,POINT (350576.2126466067 6278703.713305749),8975,8975,L-34-74-100-PO,PF622,PUENTE ALTO,SARGENTO MENADIER,AVENIDA  JUANITA,DEL ARQUITECTO,Sargento Menadier esq. / Del Arquitecto,350576.2126,6278703.7133,,,,9,3.67,1,F13cI,L-34-74-100-PO|PF622|F13cI
paradas_frecuentes.838,POINT (350603.5603481827 6278735.195343325),8984,8984,L-34-74-105-OP,PF670,PUENTE ALTO,SARGENTO MENADIER,SN. GUILLERMO,DEL ARQUITECTO,Sargento Menadier esq. / Del Arquitecto,350603.5603,6278735.1953,,,,2,7,1,F13cR,L-34-74-105-OP|PF670|F13cR
paradas_frecuentes.839,POINT (350852.4548829083 6278536.647029383),8862,8862,L-34-72-30-NS,PF491,PUENTE ALTO,SAN GUILLERMO,PELLAIFA,EL RODEO,San Guillermo esq. / El Rodeo,350852.4549,6278536.647,,,,11,14,1,F10R,L-34-72-30-NS|PF491|F10R
paradas_frecuentes.840,POINT (350869.3124047695 6278478.900474878),8838,8838,L-34-72-35-SN,PF471,PUENTE ALTO,SAN GUILLERMO,SAMO ALTO,EL RODEO,San Guillermo esq. / El Rodeo,350869.341,6278478.8962,,,,15.5,9,1,F10I,L-34-72-35-SN|PF471|F10I
paradas_frecuentes.841,POINT (350809.10987689346 6278752.2575397305),8976,8976,L-34-74-105-PO,PF623,PUENTE ALTO,SARGENTO MENADIER,DEL ARQUITECTO,SAN GUILLERMO,Sargento Menadier esq. / San Guillermo,350809.1099,6278752.2575,,,,9,3.67,1,F13cI,L-34-74-105-PO|PF623|F13cI
paradas_frecuentes.842,POINT (350834.5178849092 6278735.460688343),8839,8839,L-34-72-25-SN,PF472,PUENTE ALTO,SAN GUILLERMO,PETORCA,SARGENTO MENADIER,San Guillermo esq. / Sargento Menadier,350834.5403,6278735.4535,,,,15.5,9,1,F10I,L-34-72-25-SN|PF472|F10I
paradas_frecuentes.843,POINT (350816.30929389456 6278796.513639539),8861,8861,L-34-72-20-NS,PF490,PUENTE ALTO,SAN GUILLERMO,LOA,SARGENTO MENADIER,San Guillermo esq. / Sargento Menadier,350816.3093,6278796.5136,,,,11,14,1,F10R,L-34-72-20-NS|PF490|F10R
paradas_frecuentes.844,POINT (350847.3232938311 6278777.252852805),8983,8983,L-34-74-100-OP,PF669,PUENTE ALTO,SARGENTO MENADIER,ESTRELLA POLAR,SAN GUILLERMO,Sargento Menadier esq. / San Guillermo,350847.3233,6278777.2529,,,,2,7,1,F13cR,L-34-74-100-OP|PF669|F13cR
paradas_frecuentes.845,POINT (351090.35178637155 6278789.012916233),8977,8977,L-34-74-110-PO,PF757,PUENTE ALTO,SARGENTO MENADIER,ESTRELLA POLAR,OSA MAYOR,Sargento Menadier esq. / Osa Mayor,351090.35,6278789.01,,,,9,3.67,1,F13cI,L-34-74-110-PO|PF757|F13cI
paradas_frecuentes.846,POINT (351118.9178337213 6278813.857400136),8982,8982,L-34-74-95-OP,PF890,PUENTE ALTO,SARGENTO MENADIER,CAMINO EL RODEO,OSA MAYOR,Sargento Menadier esq. / Osa Mayor,351118.887,6278813.814,,,,2,7,1,F13cR,L-34-74-95-OP|PF890|F13cR
paradas_frecuentes.847,POINT (351262.19768219686 6278813.41722323),8978,8978,L-34-74-115-PO,PF817,PUENTE ALTO,SARGENTO MENADIER,OSA MAYOR,CAMINO EL RODEO,Sargento Menadier esq. / Camino El Rodeo,351262.1977,6278813.4172,,,,9,3.67,1,F13cI,L-34-74-115-PO|PF817|F13cI
paradas_frecuentes.848,POINT (351984.5843657789 6277598.981915334),8947,8947,L-34-93-20-OP,PF1038,PUENTE ALTO,CAMINO INTERNACIONAL,VALLE CENTRAL,4 ORIENTE,Camino Internacional esq. / 4 Oriente,351984.55,6277599,,,,3,6,1,F12cR,L-34-93-20-OP|PF1038|F12cR
paradas_frecuentes.849,POINT (352083.1454078624 6277543.048527438),8933,8933,L-34-93-20-PO,PF1039,PUENTE ALTO,CAMINO INTERNACIONAL,4 ORIENTE,PASAJE VALLE CENTRAL,Camino Internacional esq. / Valle Central,352083.1,6277543,,,,6,6,1,F12cI,L-34-93-20-PO|PF1039|F12cI
paradas_frecuentes.850,POINT (351920.36988450505 6277828.027637588),8932,8932,L-34-3-125-NS,PF1023,PUENTE ALTO,4 ORIENTE,EL CAPULLO,PASAJE LAS HOJAS,4 Oriente esq. / Pasaje Las Hojas,351920.33,6277828,,,,6,6,1,F12cI,L-34-3-125-NS|PF1023|F12cI
paradas_frecuentes.851,POINT (351932.1693988751 6277826.989704611),8948,8948,L-34-3-125-SN,PF1025,PUENTE ALTO,4 ORIENTE,EL TIMBAL,PASAJE LAS HOJAS,4 Oriente esq. / Pasaje Las Hojas,351932.13,6277827,,,,3,6,1,F12cR,L-34-3-125-SN|PF1025|F12cR
paradas_frecuentes.852,POINT (352291.59528822853 6277574.9874334615),8921,8921,L-34-93-10-OP,PF830,PUENTE ALTO,CAMINO INTERNACIONAL,CERRO LAS VIZCACHAS,NOCEDAL,Camino Internacional esq. / Nocedal,352291.575,6277575.041,,,,5,10,1,F12R,L-34-93-10-OP|PF830|F12R
paradas_frecuentes.853,POINT (352257.05562313943 6277642.889686076),8898,8898,L-34-57-45-NS,PF544,PUENTE ALTO,NOCEDAL,LOS CONQUISTADORES,EL TIMBAL,Nocedal esq. / El Timbal,352257.0661,6277642.8911,,,,14,12,2,F12I;F12cR,L-34-57-45-NS|PF544|F12I;F12cR
paradas_frecuentes.854,POINT (352265.0021933182 6277645.008531351),8934,8934,L-34-57-50-SN,PF1028,PUENTE ALTO,NOCEDAL,CAMINO INTERNACIONAL,LOS CONQUISTADORES,Nocedal esq. / Conquistadores,352265.03,6277645.05,,,,6,6,1,F12cI,L-34-57-50-SN|PF1028|F12cI
paradas_frecuentes.855,POINT (352218.10667794745 6277858.461844143),8897,8897,L-34-57-40-NS,PF543,PUENTE ALTO,NOCEDAL,EL PETALO,LAS ACHIRAS,Nocedal esq. / Las Achiras,352218.1067,6277858.4618,,,,11,6,1,F12I,L-34-57-40-NS|PF543|F12I
paradas_frecuentes.856,POINT (352229.8767433299 6277835.240221507),8922,8922,L-34-57-45-SN,PF875,PUENTE ALTO,NOCEDAL,CERRO EL PONIENTE,LAS ACHIRAS,Nocedal esq. / Las Achiras,352229.879,6277835.231,,,,11,16,2,F12R;F12cI,L-34-57-45-SN|PF875|F12R;F12cI
paradas_frecuentes.857,POINT (352252.82680826815 6277857.221999612),8946,8946,L-34-48-5-OP,PF952,PUENTE ALTO,LAS ACHIRAS,SAN JOSE,NOCEDAL,Las Achiras esq. / Nocedal,352252.8302,6277857.224,,,,3,6,1,F12cR,L-34-48-5-OP|PF952|F12cR
paradas_frecuentes.858,POINT (351866.4380672021 6278069.986945258),8931,8931,L-34-3-120-NS,PF1022,PUENTE ALTO,4 ORIENTE,EL POLEN,PASAJE LA PEPITA,4 Oriente esq. / Pasaje La Pepita,351866.46,6278069.95,,,,6,6,1,F12cI,L-34-3-120-NS|PF1022|F12cI
paradas_frecuentes.859,POINT (351871.05276131356 6278113.647600342),8949,8949,L-34-3-120-SN,PF1024,PUENTE ALTO,4 ORIENTE,LA PEPITA,PASAJE EL POLEN,4 Oriente esq. / Pasaje El Polen,351871.01,6278113.6,,,,3,6,1,F12cR,L-34-3-120-SN|PF1024|F12cR
paradas_frecuentes.860,POINT (351940.4357279133 6278379.582283844),8894,8894,L-34-81-20-NS,PF540,PUENTE ALTO,VALLE CENTRAL,VOLCAN MAIPO,SAN PEDRO,Valle Central esq. / San Pedro,351940.4357,6278379.5823,,,,17,12,2,F12I;F12cI,L-34-81-20-NS|PF540|F12I;F12cI
paradas_frecuentes.861,POINT (351989.7565124278 6278352.281869564),8925,8925,L-34-73-5-OP,PF571,PUENTE ALTO,SAN PEDRO,PSJE RIO NEGRO,VALLE CENTRAL,San Pedro esq. / Valle Central,351989.7565,6278352.2819,,,,5,10,1,F12R,L-34-73-5-OP|PF571|F12R
paradas_frecuentes.862,POINT (351805.22874311113 6278386.479062754),8950,8950,L-34-3-115-SN,PF951,PUENTE ALTO,4 ORIENTE,SAN PEDRO,CERRO YARETAS,4 Oriente esq. / Cerro Yaretas,351805.2287,6278386.4791,,,,3,6,1,F12cR,L-34-3-115-SN|PF951|F12cR
